,id,user_id,timestamp,loan_amount,loan_purpose,outcome,interest,webvisit_id
8228,30236613,67336631,1515363336,290000,Refinance existing loans,ACCEPTED,8.7,
8241,44691443,18560742,1516272588,50000,Refinance existing loans,ACCEPTED,7.0,
8253,1157217,93497941,1516910301,60000,Refinance existing loans,REJECTED,8.7,"(92414210,)"
8270,40171034,91663421,1516323351,220000,Refinance existing loans,REJECTED,8.7,
8280,73397804,20099508,1516016750,210000,Refinance existing loans,ACCEPTED,6.7,
8309,87638425,44928520,1515329263,250000,Refinance existing loans,REJECTED,6.7,"(16672347,)"
8312,12794224,56281656,1515271048,50000,Refinance existing loans,REJECTED,8.7,
8321,10893211,97878134,1516381075,40000,Buying a pet,REJECTED,7.0,"(63163006,)"
8413,26199782,73912218,1517050716,60000,Refinance existing loans,ACCEPTED,8.7,
8420,20591005,41478083,1516619527,90000,Refinance existing loans,ACCEPTED,14.0,
8426,79424166,32869736,1516301774,210000,Refinance existing loans,ACCEPTED,14.0,"(48801073,)"
8460,36266113,17975074,1515631143,70000,Home purchase,ACCEPTED,14.0,
8461,15856027,3121999,1515682945,60000,Buying a pet,ACCEPTED,7.0,
8473,89918683,32451217,1515786815,100000,Refinance existing loans,REJECTED,7.0,
8492,65730511,3341689,1514866902,40000,Buying a pet,REJECTED,14.0,
8528,34905528,81274093,1516539052,290000,Buying a pet,REJECTED,8.7,
8549,82867367,36132382,1515765183,90000,Buying a pet,ACCEPTED,14.0,
8564,95945601,17017868,1516032110,80000,Refinance existing loans,ACCEPTED,14.0,
8571,27450801,10309578,1517118223,60000,home purchase,ACCEPTED,14.0,
8586,60497445,86071019,1515178082,120000,Refinance existing loans,REJECTED,8.7,
8624,52885527,5112680,1515722425,20000,Refinance existing loans,ACCEPTED,6.7,
8625,75399227,5112680,1515233232,40000,home purchase,ACCEPTED,6.7,
8641,23914978,34046372,1515710158,200000,Buying a pet,REJECTED,7.0,
8679,95361264,8046163,1515296729,230000,Home purchase,ACCEPTED,7.0,
8689,71726303,56233135,1516502033,60000,Refinance existing loans,REJECTED,8.7,
8690,40679834,56233135,1516827814,280000,Home purchase,REJECTED,8.7,"(70591291,)"
8716,38885455,6966418,1516631151,260000,Home purchase,ACCEPTED,14.0,
8758,97886953,37846059,1515772216,60000,buying a pet,ACCEPTED,7.0,
8776,39053597,8013516,1515154977,290000,Home purchase,ACCEPTED,14.0,"(55525450,)"
8792,33160967,11324461,1515702038,100000,Home purchase,ACCEPTED,8.7,"(59209363,)"
8857,42848634,3376037,1516373877,60000,Buying a pet,REJECTED,14.0,
8860,46175571,94180031,1516968283,300000,Home purchase,ACCEPTED,6.7,
8875,35507914,71301979,1515025208,210000,Refinance existing loans,REJECTED,14.0,
8889,58036719,90347073,1516747979,270000,Buying a pet,REJECTED,7.0,
8923,17611844,96992326,1516861294,50000,Refinance existing loans,REJECTED,8.7,
8929,37751250,17022942,1514793627,20000,Buying a pet,ACCEPTED,7.0,"(80037834,)"
8948,58323697,28367255,1515633147,40000,Home purchase,REJECTED,7.0,"(9894569,)"
8961,88423275,56083220,1515817396,80000,Buying a pet,REJECTED,14.0,
8981,85750468,65539910,1514829199,170000,Home purchase,REJECTED,14.0,
8990,1088340,7203271,1514845428,230000,Refinance existing loans,ACCEPTED,8.7,
9037,95815598,4063386,1515616176,280000,Home purchase,ACCEPTED,6.7,
9109,38190632,96656167,1515298287,70000,buying a pet,REJECTED,14.0,
9173,73970973,64102866,1517266362,250000,Buying a pet,ACCEPTED,7.0,
9207,93158903,36223658,1515926940,120000,Home purchase,ACCEPTED,7.0,"(75944382,)"
9231,84118609,84921148,1515461581,300000,Refinance existing loans,ACCEPTED,6.7,"(80949693,)"
9263,32368408,16695604,1516227595,30000,Refinance existing loans,ACCEPTED,8.7,
9293,4434547,25847391,1516758127,260000,Refinance existing loans,REJECTED,6.7,"(4938450,)"
9308,56110815,61523807,1515934491,100000,Buying a pet,ACCEPTED,7.0,"(58611813,)"
9347,91445933,67598587,1515800095,170000,Refinance existing loans,REJECTED,6.7,
9366,19657637,32711270,1516066766,70000,Buying a pet,ACCEPTED,7.0,"(77646886,)"
9387,69296623,68129093,1517241578,50000,Refinance existing loans,REJECTED,6.7,"(2091824,)"
9417,93311274,544436,1515430238,300000,Refinance existing loans,REJECTED,14.0,
9446,54870060,14419300,1517227960,240000,Refinance existing loans,REJECTED,14.0,"(33937354,)"
9457,84982745,32018142,1514794780,260000,Home purchase,ACCEPTED,6.7,"(76293895,)"
9467,74691988,13678397,1515757988,180000,Refinance existing loans,ACCEPTED,14.0,
9494,5672083,72670684,1516225665,80000,Home purchase,ACCEPTED,14.0,"(16599258,)"
9508,54903161,11301540,1515405482,200000,Buying a pet,ACCEPTED,7.0,
9535,39692952,23979581,1516357931,90000,Home purchase,ACCEPTED,14.0,
9560,3257518,50645984,1516540708,300000,Refinance existing loans,REJECTED,8.7,
9564,78492394,86695113,1515038278,70000,home purchase,REJECTED,7.0,"(29579923,)"
9598,85650607,40609731,1517170963,100000,Buying a pet,REJECTED,7.0,
9628,80735729,81851602,1515242473,240000,Buying a pet,REJECTED,8.7,
9658,59931024,86983644,1515500048,180000,Refinance existing loans,ACCEPTED,14.0,
9713,62407180,63975631,1516177820,280000,buying a pet,REJECTED,14.0,
9725,79090035,55630733,1514834740,180000,Buying a pet,REJECTED,7.0,"(73946053,)"
9739,55561398,92110303,1514993551,90000,home purchase,ACCEPTED,7.0,
9776,18794354,41913131,1516956245,90000,Refinance existing loans,ACCEPTED,7.0,
9793,89840700,95052129,1516028772,120000,Home purchase,ACCEPTED,6.7,"(60265281,)"
9853,111461,23681216,1515901746,250000,Refinance existing loans,REJECTED,6.7,
9859,93429438,23202463,1515301667,200000,Buying a pet,ACCEPTED,7.0,"(65364439,)"
9880,38586594,96336128,1516869349,100000,Refinance existing loans,ACCEPTED,6.7,
9881,15537798,76209624,1515141486,210000,Buying a pet,REJECTED,7.0,"(53060086,)"
9882,23396064,76209624,1517238634,260000,Refinance existing loans,ACCEPTED,8.7,
9885,69019535,16761877,1516294236,200000,Buying a pet,REJECTED,6.7,"(25599800,)"
9888,65265017,76386306,1515482826,100000,home purchase,REJECTED,7.0,"(16785778,)"
9889,43441985,51344335,1516611192,70000,home purchase,REJECTED,8.7,
9915,49602088,42959309,1517299170,230000,Home purchase,ACCEPTED,14.0,"(22340361,)"
9937,71547851,18368882,1516039747,210000,Buying a pet,ACCEPTED,8.7,
10027,71443738,26742441,1515297838,270000,Buying a pet,REJECTED,7.0,
10036,79313856,12928965,1515188888,90000,Home purchase,ACCEPTED,7.0,
10113,36161959,8537100,1514981680,260000,Refinance existing loans,REJECTED,6.7,"(30745623,)"
10144,42233767,76550592,1516618004,100000,Buying a pet,ACCEPTED,8.7,"(32954050,)"
10181,29165249,63814303,1517132528,230000,Refinance existing loans,ACCEPTED,7.0,
10214,58124450,51518054,1517334726,250000,Refinance existing loans,ACCEPTED,8.7,
10215,98485984,51518054,1517339995,250000,Buying a pet,ACCEPTED,8.7,
10217,12764223,49234069,1516844019,240000,Refinance existing loans,ACCEPTED,6.7,
10231,61109039,85413122,1516261230,30000,Refinance existing loans,ACCEPTED,8.7,
10237,13605071,12804883,1515381205,220000,home purchase,REJECTED,6.7,
10239,30679206,89268041,1517218759,170000,Refinance existing loans,ACCEPTED,8.7,
10292,72439036,43992860,1515166822,200000,Refinance existing loans,REJECTED,7.0,
10298,33929428,30626039,1514776963,70000,Buying a pet,REJECTED,6.7,
10330,4846600,45525892,1516913704,250000,home purchase,REJECTED,8.7,
10339,99107755,70554920,1514798430,240000,Buying a pet,ACCEPTED,6.7,"(85794818,)"
10350,89926716,38133106,1517189241,290000,Buying a pet,ACCEPTED,8.7,
10356,24600961,98027943,1517196012,170000,Refinance existing loans,REJECTED,7.0,
10370,31168273,88027099,1514837434,300000,Buying a pet,ACCEPTED,14.0,
10409,71523864,8050271,1516285096,170000,Buying a pet,ACCEPTED,14.0,
10449,75434578,16279528,1516740704,150000,Refinance existing loans,ACCEPTED,8.7,
10472,73237324,70558660,1515994253,240000,Refinance existing loans,REJECTED,6.7,
10512,8215988,71160563,1516191360,200000,Refinance existing loans,ACCEPTED,7.0,
10515,51982929,63344890,1514979752,30000,Home purchase,ACCEPTED,6.7,
10545,52178951,62164806,1517069406,80000,buying a pet,ACCEPTED,6.7,"(82344447,)"
10547,74499737,37091865,1516693861,250000,Refinance existing loans,REJECTED,6.7,
10552,10668476,23119018,1516236507,60000,Refinance existing loans,ACCEPTED,8.7,
10557,97879445,49392264,1515570291,230000,buying a pet,ACCEPTED,8.7,"(86809558,)"
10580,74386064,15056027,1514776720,210000,Refinance existing loans,REJECTED,6.7,
10589,84541531,28641764,1516756905,40000,buying a pet,ACCEPTED,8.7,
10614,177942,26504817,1514816597,200000,Home purchase,ACCEPTED,14.0,
10616,82451003,41362778,1515082612,30000,Refinance existing loans,ACCEPTED,14.0,
10618,88067769,74157976,1515591815,200000,Home purchase,REJECTED,14.0,"(31637163,)"
10648,15236156,42217900,1515648413,40000,Refinance existing loans,REJECTED,6.7,"(95713091,)"
10677,96238833,1219210,1516517495,40000,Buying a pet,ACCEPTED,6.7,"(74662667,)"
10697,40899328,1738791,1516225267,50000,Buying a pet,ACCEPTED,14.0,"(64423085,)"
10723,76139018,77023525,1515523070,250000,Home purchase,ACCEPTED,14.0,
10732,57832829,59702975,1516478504,170000,Refinance existing loans,REJECTED,6.7,
10734,25800057,54334195,1517303359,300000,Refinance existing loans,ACCEPTED,6.7,
10757,20170567,31834554,1517277254,240000,Buying a pet,REJECTED,7.0,
10784,96458009,56957404,1517250061,280000,Home purchase,REJECTED,14.0,"(38860234,)"
10801,21664050,18445750,1516005434,80000,Buying a pet,REJECTED,6.7,"(1568091,)"
10809,40139377,47243266,1515072204,60000,Home purchase,REJECTED,8.7,
10820,36511158,72694152,1515801841,50000,home purchase,ACCEPTED,7.0,"(72082707,)"
10840,74932284,35836842,1515260882,200000,Refinance existing loans,REJECTED,7.0,
10860,64918380,63540586,1516087823,210000,Buying a pet,ACCEPTED,8.7,
10861,13155439,4880444,1516645270,80000,home purchase,ACCEPTED,7.0,
10893,37226834,72956645,1514858745,240000,Home purchase,ACCEPTED,7.0,
10898,29907194,76282944,1516922176,250000,Home purchase,ACCEPTED,8.7,"(69350116,)"
10925,93921134,50802680,1515938579,220000,Buying a pet,REJECTED,14.0,
10926,49494009,43569006,1517012095,230000,Refinance existing loans,ACCEPTED,6.7,
10948,53158944,30800330,1516171695,200000,Home purchase,REJECTED,6.7,"(34045703,)"
10952,33944446,76468228,1515444994,30000,Refinance existing loans,REJECTED,14.0,
10958,17736282,40009841,1515394712,270000,home purchase,ACCEPTED,8.7,"(39858558,)"
10968,24812509,89439875,1515246136,190000,home purchase,REJECTED,8.7,"(81789695,)"
10975,71214184,51152942,1515280760,260000,home purchase,ACCEPTED,8.7,"(97239908,)"
10985,65642503,43433394,1517131376,60000,home purchase,REJECTED,8.7,
10994,39638877,24468245,1517262475,300000,Refinance existing loans,REJECTED,14.0,"(87059036,)"
11033,55675496,38203431,1515022265,30000,Refinance existing loans,REJECTED,6.7,
11065,38002973,42524471,1516469318,50000,Refinance existing loans,ACCEPTED,7.0,
11080,42672499,92897922,1517008104,230000,Home purchase,ACCEPTED,6.7,
11119,2830646,63260151,1515990430,300000,Refinance existing loans,ACCEPTED,7.0,
11121,78298097,52320241,1516827431,250000,Refinance existing loans,REJECTED,8.7,
11126,43210008,45222522,1515331862,100000,Refinance existing loans,ACCEPTED,7.0,"(93396750,)"
11142,42780994,64104204,1516163239,20000,Refinance existing loans,ACCEPTED,7.0,
11168,66805733,33286029,1516417017,200000,Buying a pet,ACCEPTED,6.7,
11173,95331389,40661275,1515101091,250000,Refinance existing loans,REJECTED,6.7,
11181,56886566,38579475,1515008706,220000,Refinance existing loans,ACCEPTED,8.7,
11195,71919618,31494383,1516960339,180000,Buying a pet,ACCEPTED,6.7,"(10235190,)"
11248,66265875,73118374,1515643083,150000,Home purchase,ACCEPTED,14.0,"(42604721,)"
11250,48349127,9080544,1515180355,210000,Refinance existing loans,ACCEPTED,6.7,"(82638890,)"
11298,56025970,14206544,1516788057,50000,home purchase,REJECTED,7.0,"(14393902,)"
11314,55965298,47663510,1515211902,60000,Buying a pet,REJECTED,7.0,
11340,10729852,5684542,1516038205,270000,Refinance existing loans,ACCEPTED,14.0,
11369,39951949,95261543,1516919827,90000,Buying a pet,ACCEPTED,8.7,
11399,1312713,56074895,1514787032,220000,Refinance existing loans,REJECTED,14.0,
11405,90677887,86710463,1515776282,80000,Refinance existing loans,REJECTED,7.0,
11411,58872582,13389835,1515184071,150000,Refinance existing loans,REJECTED,14.0,
11462,3414438,52999992,1516804900,80000,Refinance existing loans,REJECTED,14.0,"(81042817,)"
11500,34729629,45280716,1515553507,60000,Refinance existing loans,ACCEPTED,7.0,"(29823230,)"
11513,40531532,86948176,1515034746,120000,Refinance existing loans,ACCEPTED,6.7,
11598,20114932,23310828,1515843773,300000,Buying a pet,ACCEPTED,6.7,"(34714125,)"
11599,35142630,90312770,1516881433,170000,Refinance existing loans,ACCEPTED,8.7,
11618,59443935,47801457,1514775102,300000,Refinance existing loans,REJECTED,14.0,"(95013036,)"
11624,22613472,69770455,1514991570,170000,Home purchase,REJECTED,8.7,
11657,132730,23071790,1515965686,200000,home purchase,REJECTED,6.7,"(87606107,)"
11669,36348260,28557834,1516624847,70000,Buying a pet,REJECTED,7.0,"(69457241,)"
11709,17317657,14667487,1516739521,40000,buying a pet,ACCEPTED,7.0,
11712,86137902,24110894,1516380500,70000,home purchase,REJECTED,14.0,"(33955424,)"
11737,1117342,27846496,1515507063,290000,Refinance existing loans,ACCEPTED,6.7,
11833,27847621,20220563,1516957812,190000,Refinance existing loans,REJECTED,14.0,
11869,86981300,37800525,1516517339,120000,Refinance existing loans,REJECTED,6.7,"(4144524,)"
11906,62019436,6991928,1516660818,120000,home purchase,REJECTED,14.0,
11955,61931009,60224198,1515075405,40000,buying a pet,ACCEPTED,7.0,
11991,96804592,67815747,1515040226,230000,Refinance existing loans,ACCEPTED,8.7,
11992,95572677,36627857,1517274174,180000,Buying a pet,ACCEPTED,6.7,
12020,96490095,23334556,1515280711,80000,home purchase,REJECTED,7.0,"(85579833,)"
12073,81193223,46736509,1515317478,260000,Buying a pet,ACCEPTED,8.7,
12088,87042578,7993779,1517272502,190000,home purchase,REJECTED,7.0,
12121,86590631,80399698,1515589508,280000,Refinance existing loans,REJECTED,6.7,
12127,7668301,85411588,1516312632,210000,Refinance existing loans,REJECTED,7.0,"(32113147,)"
12128,37289550,34338034,1516796904,170000,Home purchase,REJECTED,7.0,
12149,50500334,56601396,1517111174,180000,buying a pet,REJECTED,8.7,
12195,80718738,75455243,1515057183,190000,Home purchase,REJECTED,6.7,
12204,67646151,3502083,1516089406,290000,buying a pet,REJECTED,14.0,
12218,1611676,87550125,1517068813,280000,Refinance existing loans,ACCEPTED,14.0,"(56407255,)"
12242,20793357,21590025,1515880724,290000,home purchase,REJECTED,7.0,
12279,99286954,60118670,1516360572,180000,Home purchase,REJECTED,6.7,"(6048268,)"
12299,90066148,59109599,1516089142,100000,Refinance existing loans,REJECTED,7.0,
12326,24182495,47994225,1515896490,30000,Buying a pet,ACCEPTED,14.0,
12354,41316099,65781263,1516732328,260000,Refinance existing loans,REJECTED,8.7,
12360,41116901,10665565,1516352175,300000,Home purchase,ACCEPTED,6.7,
12361,99103286,16031737,1515020869,240000,Buying a pet,REJECTED,7.0,
12365,53828852,75710918,1514919796,200000,home purchase,REJECTED,7.0,
12373,4103932,42416870,1515283288,20000,Home purchase,ACCEPTED,14.0,
12374,71502492,42416870,1515591936,280000,home purchase,ACCEPTED,7.0,
12382,18115210,26399498,1515738564,50000,Refinance existing loans,REJECTED,6.7,
12474,97443984,68691877,1516692754,240000,buying a pet,REJECTED,8.7,
12528,74918109,89824866,1515962069,290000,Refinance existing loans,ACCEPTED,8.7,"(78524961,)"
12537,26308431,75870902,1515650465,30000,Buying a pet,ACCEPTED,14.0,
12561,62559856,83744294,1515540981,220000,Home purchase,ACCEPTED,7.0,
12634,76027202,27378223,1516586603,100000,Buying a pet,ACCEPTED,8.7,
12685,8535111,48287869,1516343505,30000,Buying a pet,REJECTED,8.7,"(40103579,)"
12689,6863084,66596693,1515106592,40000,Refinance existing loans,ACCEPTED,7.0,
12703,14276582,54834048,1516997856,60000,Refinance existing loans,ACCEPTED,14.0,"(79903044,)"
12713,66598938,34697780,1517313364,120000,Refinance existing loans,REJECTED,6.7,
12721,47049798,78350489,1516354165,20000,Home purchase,ACCEPTED,8.7,"(75382587,)"
12728,99946068,61998699,1514900538,70000,Buying a pet,ACCEPTED,14.0,
12804,85054494,25805905,1516482890,80000,Buying a pet,REJECTED,8.7,
12813,52842217,25758328,1515846445,180000,Refinance existing loans,ACCEPTED,6.7,"(81365520,)"
12827,21044207,59948978,1516623305,70000,buying a pet,REJECTED,7.0,
12830,92803783,80942822,1517255846,260000,Buying a pet,ACCEPTED,14.0,
12880,81075517,57042063,1516346230,40000,Buying a pet,REJECTED,6.7,"(22302755,)"
12920,52730433,68447124,1515841818,290000,Refinance existing loans,REJECTED,7.0,
12922,3637321,46396453,1517266152,50000,home purchase,ACCEPTED,14.0,
13024,98510652,99769414,1516058982,60000,Home purchase,ACCEPTED,14.0,
13066,93073691,33473729,1516421710,240000,Home purchase,ACCEPTED,6.7,"(65911583,)"
13092,38817133,92260411,1517114035,250000,buying a pet,ACCEPTED,7.0,"(24530884,)"
13105,35950962,39273103,1515333463,260000,Buying a pet,REJECTED,8.7,
13106,36869742,13366573,1516523245,220000,home purchase,REJECTED,7.0,
13123,41143585,97152116,1515970334,290000,Refinance existing loans,REJECTED,14.0,
13146,89386041,86741710,1514898776,270000,Refinance existing loans,REJECTED,14.0,"(78544118,)"
13175,43693282,32333825,1514862502,190000,home purchase,ACCEPTED,6.7,
13198,417005,18120901,1515985611,210000,Refinance existing loans,REJECTED,7.0,
13202,957618,50096421,1515796260,170000,Refinance existing loans,REJECTED,6.7,"(41718058,)"
13204,78733048,2609957,1517025898,90000,Buying a pet,REJECTED,6.7,
13219,90259478,58568041,1515007599,170000,Refinance existing loans,REJECTED,8.7,
13281,90815579,46997188,1515248729,80000,Buying a pet,ACCEPTED,7.0,"(42124052,)"
13318,77940169,6469712,1515815072,180000,Buying a pet,ACCEPTED,7.0,
13339,60065634,51617236,1516209326,240000,Refinance existing loans,REJECTED,6.7,
13340,85249680,11386539,1515260995,240000,Refinance existing loans,REJECTED,7.0,
13388,31151094,2957241,1516775203,170000,home purchase,REJECTED,7.0,
13411,19000284,66966664,1516993441,200000,Home purchase,ACCEPTED,7.0,"(91806982,)"
13468,92423102,54816661,1515366531,70000,Refinance existing loans,ACCEPTED,14.0,
13495,7485590,25646360,1516634088,200000,Buying a pet,ACCEPTED,14.0,
13573,43906047,12892054,1515995194,80000,Buying a pet,REJECTED,7.0,
13624,21358835,93071628,1517102518,290000,Home purchase,REJECTED,8.7,"(99629698,)"
13633,36721373,9917920,1516573974,50000,home purchase,ACCEPTED,8.7,
13643,82043992,38921474,1515689850,230000,Refinance existing loans,ACCEPTED,14.0,"(61489319,)"
13688,61931215,37103102,1514803667,40000,buying a pet,ACCEPTED,6.7,
13707,19815735,69851964,1516184027,280000,Refinance existing loans,ACCEPTED,8.7,
13718,51594413,54615026,1516166341,220000,Refinance existing loans,ACCEPTED,14.0,
13745,27263473,11179889,1517290483,230000,Buying a pet,REJECTED,7.0,
13788,48843849,14634489,1516999616,70000,Buying a pet,REJECTED,14.0,
13816,5727796,68667846,1516521112,30000,Refinance existing loans,ACCEPTED,8.7,"(65478956,)"
13868,73949148,78892480,1514897498,180000,Buying a pet,ACCEPTED,6.7,
13893,49219689,47069712,1514904832,240000,home purchase,ACCEPTED,14.0,
13906,54334018,10466781,1516034374,290000,Refinance existing loans,ACCEPTED,7.0,"(66872445,)"
13907,10765790,84990312,1517062897,270000,Refinance existing loans,ACCEPTED,7.0,
13952,9837681,42846792,1516197063,20000,Buying a pet,ACCEPTED,6.7,
13961,6616651,84386215,1516876728,180000,Refinance existing loans,REJECTED,14.0,
14012,37213190,42457238,1515689179,120000,Buying a pet,REJECTED,8.7,"(11657600,)"
14029,91620137,40429545,1515759961,290000,Home purchase,REJECTED,7.0,
14040,46947463,17970219,1515965613,250000,Refinance existing loans,ACCEPTED,14.0,
14077,25095286,96467946,1516254013,20000,buying a pet,REJECTED,8.7,
14094,13954065,21249939,1517059938,260000,Home purchase,REJECTED,14.0,
14163,38226290,60650195,1515842203,90000,Refinance existing loans,ACCEPTED,8.7,
14184,18934822,57334986,1514819873,280000,Refinance existing loans,REJECTED,7.0,
14244,16147247,56359378,1516601340,210000,Home purchase,ACCEPTED,6.7,"(19448843,)"
14245,85974966,56359378,1516003906,200000,Buying a pet,REJECTED,6.7,
14258,42743749,78180594,1516961209,240000,Refinance existing loans,ACCEPTED,14.0,
14345,31967991,20198809,1516805996,220000,Refinance existing loans,REJECTED,6.7,
14355,48957402,34921454,1517028865,190000,Buying a pet,REJECTED,8.7,"(63858967,)"
14369,28424747,23129272,1516412374,280000,Home purchase,ACCEPTED,6.7,"(20485466,)"
14406,55690054,75245398,1515041721,100000,Buying a pet,REJECTED,14.0,
14423,31941168,5997725,1516994490,120000,Refinance existing loans,REJECTED,8.7,
14443,82520300,61222290,1517042956,150000,Home purchase,REJECTED,14.0,"(46010675,)"
14453,15696119,70484685,1516130436,80000,Home purchase,REJECTED,14.0,"(16849484,)"
14459,73248116,53913391,1516874654,290000,home purchase,REJECTED,6.7,
14513,83721792,46735200,1516697152,20000,home purchase,ACCEPTED,14.0,"(21236731,)"
14516,70494016,88952006,1515033515,170000,Home purchase,ACCEPTED,7.0,"(28156720,)"
14606,22189906,567738,1516572191,120000,Buying a pet,ACCEPTED,14.0,"(16159895,)"
14630,10032184,63205226,1516572567,150000,Refinance existing loans,REJECTED,6.7,
14660,55051313,98976483,1517326031,60000,Refinance existing loans,ACCEPTED,7.0,
14681,19127065,59082315,1516388312,50000,Home purchase,ACCEPTED,14.0,"(22760076,)"
14749,103534,88340112,1516451530,30000,Home purchase,ACCEPTED,14.0,
14790,80311726,54296255,1514972228,180000,Buying a pet,REJECTED,6.7,
14801,54284456,72343351,1515936285,270000,Refinance existing loans,REJECTED,7.0,
14865,51198168,95457057,1517335753,180000,Refinance existing loans,ACCEPTED,7.0,"(57533430,)"
14889,61922575,15409468,1514993956,90000,Home purchase,ACCEPTED,7.0,
14899,11422860,2504379,1515365258,40000,home purchase,ACCEPTED,6.7,"(4202586,)"
14907,50814873,61951188,1517137723,60000,Refinance existing loans,ACCEPTED,7.0,
14910,46360308,68008408,1515215028,270000,Buying a pet,ACCEPTED,14.0,
14946,59945387,54304649,1516729588,70000,home purchase,REJECTED,6.7,
14985,78184218,77136058,1516020370,170000,home purchase,REJECTED,8.7,
15019,995369,58987369,1514807340,60000,Refinance existing loans,ACCEPTED,6.7,
